T2,T3,T4,T5,T6,T7,T8,T2_pred,T3_pred,T4_pred,T5_pred,T6_pred,T7_pred,T8_pred
69.75253,69.924706,60.84829,60.80932,60.804653,60.804653,60.825726,69.780365,69.88584,60.922043,61.077354,61.139523,61.13314,61.114506
69.7161,69.90659,61.882603,61.98047,61.906116,61.906116,61.882046,69.74894,69.847534,62.04357,62.15819,62.22184,62.251995,62.203426
69.807175,69.95187,60.737263,60.6836,60.748005,60.748005,60.73024,69.80186,69.929115,60.769356,60.946068,61.031548,61.01489,60.985714
69.779854,69.938286,62.507866,62.688454,62.62364,62.62364,62.544483,69.79719,69.89257,62.65434,62.76161,62.823383,62.863075,62.765633
69.7662,69.931496,61.7073,61.78197,61.717293,61.717293,61.703007,69.80519,69.88909,61.81493,61.938812,61.97777,61.994823,61.932976
69.74342,69.92018,60.68467,60.624054,60.61583,60.61583,60.658627,69.77951,69.880806,60.753414,60.91103,60.96883,60.958374,60.94818
69.78896,69.94282,62.02285,62.13927,62.05088,62.05088,62.019306,69.83313,69.90386,62.12899,62.241993,62.26198,62.28515,62.200897
69.72066,69.90886,61.631332,61.695953,61.63547,61.63547,61.625423,69.75403,69.85357,61.77397,61.897533,61.960564,61.982384,61.942345
72.95385,69.90659,63.23247,62.384087,62.78099,62.78099,63.153206,71.68724,69.87372,60.73737,59.706726,61.96905,61.856735,62.74218
69.734314,69.91565,60.941788,60.915184,60.993477,60.993477,60.945084,69.70362,69.86851,61.05372,61.224293,61.366364,61.36794,61.363274
69.61592,69.8568,60.96516,60.941654,60.930534,60.930534,60.945084,69.62693,69.77597,61.16369,61.306168,61.438164,61.456554,61.489082
69.734314,69.91565,62.128036,62.25837,62.17676,62.17676,62.132698,69.76473,69.85935,62.28907,62.397785,62.455425,62.49046,62.425297
69.79352,69.945076,60.690514,60.63067,60.622124,60.622124,60.664593,69.83578,69.920616,60.716297,60.87694,60.908802,60.89074,60.85977
69.78896,69.94282,61.60211,61.66287,61.604,61.604,61.595585,69.83075,69.908226,61.68404,61.81301,61.840927,61.851246,61.78442
69.78441,69.94055,62.244907,62.390705,62.29635,62.29635,62.252056,69.8257,69.898415,62.367584,62.474136,62.499966,62.530506,62.438942
69.72977,69.91338,61.643017,61.709187,61.64806,61.64806,61.63736,69.76426,69.86071,61.778454,61.902203,61.960445,61.981205,61.936947
69.74798,69.92244,62.437744,62.609055,62.54811,62.54811,62.4669,69.75902,69.86723,62.609623,62.717136,62.79595,62.83881,62.75836
69.807175,69.95187,62.33256,62.489956,62.39076,62.39076,62.34157,69.85129,69.9157,62.44058,62.54558,62.559032,62.588696,62.48417
69.78441,69.94055,62.291656,62.443638,62.3467,62.3467,62.299797,69.82571,69.89797,62.41701,62.521954,62.54746,62.57942,62.48592
69.779854,69.938286,62.00532,62.11942,62.038292,62.038292,62.00737,69.820564,69.897095,62.11821,62.23272,62.262558,62.28653,62.20675
69.734314,69.91565,61.38006,61.411438,61.364826,61.364826,61.368805,69.76935,69.86687,61.4965,61.629593,61.687294,61.699364,61.664124
69.74798,69.92244,61.678078,61.748886,61.679527,61.679527,61.667202,69.787056,69.87456,61.799896,61.922127,61.965683,61.984756,61.931572
69.74798,69.92244,60.778168,60.72992,60.716537,60.716537,60.754112,69.78464,69.88353,60.84833,61.00302,61.05782,61.049496,61.033566
69.75709,69.92697,60.988537,60.96812,60.943123,60.943123,60.96299,69.79253,69.888115,61.064747,61.212666,61.261383,61.25837,61.23102
69.78441,69.94055,62.239063,62.384087,62.29635,62.29635,62.246086,69.82101,69.898155,62.36316,62.471287,62.50226,62.53288,62.44259
69.770744,69.93376,61.45018,61.490837,61.43406,61.43406,61.434452,69.81261,69.894875,61.539265,61.670807,61.704166,61.712784,61.6597
69.7161,69.90659,61.082035,61.073986,61.043827,61.043827,61.06444,69.74886,69.85523,61.19715,61.33933,61.40851,61.41436,61.398922
72.95385,69.845474,63.004574,62.086338,62.592167,62.592167,62.932396,71.690025,69.80609,60.583065,59.43357,61.82188,61.713444,62.791256
69.78441,69.94055,61.64886,61.715805,61.654354,61.654354,61.64333,69.82564,69.90415,61.7374,61.86447,61.894417,61.906864,61.83997
69.78441,69.94055,61.082035,61.073986,61.043827,61.043827,61.06444,69.825584,69.90961,61.13811,61.28469,61.318554,61.313793,61.270355
69.73887,69.917915,61.555363,61.609936,61.55994,61.55994,61.547844,69.76978,69.868484,61.679665,61.808388,61.86763,61.88457,61.841244
69.7753,69.93603,61.865074,61.96062,61.899822,61.899822,61.86414,69.80604,69.89418,61.97738,62.09916,62.14253,62.163475,62.09343
72.95385,69.90207,63.220783,62.370853,62.768402,62.768402,63.141273,71.68685,69.86938,60.729015,59.691685,61.955887,61.843967,62.739723
69.69334,69.89528,60.87751,60.842403,60.82983,60.82983,60.855564,69.71857,69.83875,61.002346,61.151466,61.238937,61.24238,61.24577
69.72977,69.91338,62.18647,62.32454,62.233406,62.233406,62.18641,69.761955,69.85484,62.354904,62.459827,62.514393,62.55199,62.486267
69.734314,69.91565,61.052814,61.0409,61.012356,61.012356,61.034603,69.76932,69.87001,61.150517,61.294872,61.35484,61.35697,61.335278
69.70699,69.90207,61.800793,61.887836,61.817997,61.817997,61.798492,69.7387,69.841064,61.964947,62.0818,62.150723,62.179806,62.138355
69.75709,69.92697,61.619644,61.68272,61.622883,61.622883,61.61349,69.794945,69.88268,61.730125,61.85644,61.900715,61.91652,61.862034
69.75253,69.924706,61.958572,62.066486,61.987938,61.987938,61.95963,69.78986,69.8758,62.0924,62.206757,62.251045,62.277843,62.211197
69.7161,69.90659,61.6138,61.6761,61.61659,61.61659,61.60752,69.74892,69.85011,61.759373,61.883244,61.948753,61.970745,61.9333
69.73887,69.917915,61.900135,62.00032,61.924995,61.924995,61.89995,69.77451,69.865486,62.042427,62.157913,62.209667,62.236816,62.178185
69.7753,69.93603,61.993633,62.106186,62.025703,62.025703,61.995434,69.815445,69.893585,62.10979,62.224407,62.25668,62.281006,62.203575
69.76164,69.92923,61.17553,61.17985,61.138237,61.138237,61.15396,69.80235,69.89027,61.25676,61.397167,61.437134,61.438828,61.400845
69.76164,69.92923,61.876762,61.973854,61.899822,61.899822,61.87011,69.79773,69.883194,61.999905,62.117546,62.15777,62.18101,62.11504
69.76164,69.92923,62.46112,62.63552,62.566994,62.566994,62.490772,69.77906,69.878204,62.620773,62.726994,62.79348,62.834663,62.746613
69.78896,69.94282,61.210594,61.21955,61.182297,61.182297,61.195736,69.83071,69.911995,61.270096,61.412544,61.44317,61.4416,61.390976
69.74798,69.92244,62.402683,62.569355,62.51664,62.51664,62.43706,69.756676,69.86789,62.572437,62.682644,62.766727,62.80844,62.729454
69.75253,69.924706,61.16969,61.173237,61.150826,61.150826,61.15396,69.780396,69.882744,61.261845,61.406094,61.46604,61.469418,61.437485
69.71155,69.904335,61.771576,61.854755,61.799114,61.799114,61.768654,69.73442,69.84433,61.93363,62.05452,62.131496,62.15951,62.119465
72.95385,69.904335,63.226627,62.384087,62.774696,62.774696,63.14724,71.68396,69.8725,60.731697,59.700382,61.95646,61.844494,62.732365
