T2,T3,T4,T5,T6,T7,T8,T2_pred,T3_pred,T4_pred,T5_pred,T6_pred,T7_pred,T8_pred
69.64494,69.94248,62.28084,62.60609,62.45292,62.45292,62.31809,69.516266,69.839584,62.625633,62.74612,62.870537,62.939182,62.96139
69.677765,70.000656,61.08555,61.045963,61.030514,61.030514,61.06679,69.72603,69.934875,61.23921,61.414223,61.5274,61.530174,61.510563
72.549644,69.840675,63.16826,62.409103,62.77209,62.77209,63.092403,71.25658,69.77594,60.26204,59.3991,62.024006,61.906696,62.88965
72.549644,69.90612,63.2407,62.527294,62.869232,62.869232,63.17293,71.437996,69.86843,60.5635,59.705193,62.034393,61.913906,62.743767
69.661354,69.97157,62.311028,62.645485,62.48761,62.48761,62.34906,69.52995,69.871735,62.64969,62.776394,62.89564,62.96216,62.976673
69.694176,70.02975,61.622826,61.74723,61.648045,61.648045,61.618103,69.67673,69.954445,61.840267,62.00003,62.092632,62.11792,62.099785
69.70649,70.05157,61.242504,61.250828,61.210915,61.210915,61.227848,69.73704,69.98856,61.3998,61.581284,61.68225,61.686363,61.65517
69.59161,69.847946,62.196327,62.495777,62.34884,62.34884,62.231365,69.475296,69.7351,62.56097,62.659172,62.794353,62.870274,62.9166
69.599815,69.86249,61.31495,61.345383,61.294178,61.294178,61.30218,69.61474,69.772896,61.549107,61.678814,61.805225,61.836205,61.859886
72.549644,69.79704,63.113926,62.33031,62.709644,62.709644,63.03665,71.270645,69.738106,60.244976,59.331547,61.947605,61.833405,62.875797
69.677765,70.000656,62.311028,62.645485,62.49455,62.49455,62.34906,69.542206,69.90429,62.641335,62.777042,62.897663,62.960876,62.96829
69.66956,69.986115,61.16403,61.148396,61.120712,61.120712,61.153515,69.71002,69.91714,61.331707,61.499775,61.612614,61.62064,61.60551
72.549644,69.818855,63.138073,62.361828,62.74434,62.74434,63.06143,71.260315,69.75515,60.241863,59.3515,61.994457,61.878304,62.900047
69.702385,70.04429,61.6349,61.76299,61.661922,61.661922,61.630493,69.68394,69.9706,61.84886,62.01186,62.101967,62.126045,62.104008
72.549644,69.993385,63.343327,62.684883,63.02188,63.02188,63.284435,71.820274,70.01419,61.152752,60.2498,62.0029,61.878242,62.46685
72.549644,70.000656,63.3554,62.692764,63.02882,63.02882,63.29063,71.85126,70.024506,61.200356,60.293056,62.005108,61.8801,62.450375
69.69828,70.03702,61.15799,61.14052,61.113777,61.113777,61.141125,69.73882,69.97421,61.308777,61.49009,61.595753,61.597553,61.568954
69.58751,69.840675,60.994995,60.927773,60.926434,60.926434,60.973873,69.64141,69.75616,61.19276,61.330395,61.469715,61.487843,61.51192
69.608025,69.87704,62.238583,62.550934,62.390472,62.390472,62.26853,69.490204,69.76664,62.59877,62.701046,62.825146,62.899597,62.938366
69.69828,70.03702,60.771633,60.636234,60.66971,60.66971,60.744675,69.78681,69.983795,60.869156,61.066826,61.184227,61.16725,61.131668
69.65726,69.9643,60.741447,60.596836,60.635014,60.635014,60.713703,69.74699,69.90229,60.860535,61.04075,61.1697,61.160236,61.144707
69.65315,69.95702,61.00103,60.935654,60.94031,60.94031,60.986263,69.70766,69.88793,61.158466,61.32745,61.455124,61.459106,61.45041
69.51776,69.71705,61.628864,61.75511,61.661922,61.661922,61.630493,69.48587,69.60089,61.957733,62.03832,62.181995,62.246124,62.316765
69.64905,69.94975,60.687115,60.52592,60.579506,60.579506,60.65795,69.739845,69.88683,60.80579,60.98607,61.124424,61.114403,61.10315
69.63674,69.92794,62.274803,62.59821,62.43904,62.43904,62.311893,69.51348,69.82363,62.62197,62.73746,62.858562,62.928417,62.953503
69.608025,69.87704,60.632786,60.455006,60.51012,60.51012,60.6022,69.70819,69.806274,60.767757,60.93009,61.075104,61.071133,61.07836
69.62033,69.89885,61.816006,61.999374,61.877018,61.877018,61.822525,69.57156,69.801895,62.10637,62.225864,62.337276,62.388054,62.410572
69.68187,70.007935,61.19421,61.187794,61.155407,61.155407,61.17829,69.71689,69.94041,61.36028,61.532566,61.64138,61.648537,61.62883
72.549644,69.89885,63.23466,62.511536,62.862293,62.862293,63.16674,71.41006,69.85606,60.51946,59.66342,62.04528,61.92491,62.774925
72.549644,69.986115,63.337288,62.669125,62.987186,62.987186,63.272045,71.77963,69.99842,61.088745,60.189484,62.00009,61.87619,62.490993
69.5629,69.79704,61.82204,62.00725,61.981094,61.981094,61.853497,69.44714,69.68429,62.16856,62.28321,62.48776,62.554012,62.617176
69.43981,69.57888,60.626747,60.44713,60.51012,60.51012,60.6022,69.532455,69.41046,60.91775,60.99439,61.73519,61.783783,61.65881
69.60392,69.86977,61.42361,61.487213,61.41907,61.41907,61.413685,69.6056,69.77842,61.670177,61.797157,61.919205,61.954567,61.978153
69.694176,70.02975,60.81389,60.69139,60.718277,60.718277,60.79423,69.779655,69.97519,60.91787,61.112,61.2291,61.21472,61.180897
69.62033,69.89885,61.46587,61.542366,61.467644,61.467644,61.457047,69.61778,69.81028,61.70797,61.840656,61.957165,61.99099,62.0071
69.62033,69.89885,61.45983,61.53449,61.460705,61.460705,61.45085,69.61853,69.810425,61.701103,61.834045,61.950737,61.98427,62.000267
69.59571,69.85522,61.327023,61.36114,61.314995,61.314995,61.320766,69.60616,69.76468,61.565407,61.694366,61.827015,61.859413,61.885452
69.65726,69.9643,62.347248,62.692764,62.522305,62.522305,62.386227,69.52627,69.86297,62.69154,62.813328,62.92691,62.9958,63.01189
69.61623,69.89158,61.586605,61.699955,61.613354,61.613354,61.580936,69.593254,69.7987,61.849857,61.97707,62.0966,62.137478,62.15897
69.608025,69.87704,61.031216,60.975048,60.968067,60.968067,61.017235,69.661156,69.79705,61.219173,61.36476,61.497585,61.512627,61.525997
72.549644,69.9643,63.307106,62.62185,62.959435,62.959435,63.241074,71.68627,69.96244,60.9432,60.054474,62.016914,61.89369,62.569736
69.61212,69.88431,61.846188,62.03877,61.91171,61.91171,61.853497,69.559105,69.7847,62.14586,62.26033,62.37295,62.42699,62.454174
69.65726,69.9643,60.92859,60.8411,60.94725,60.94725,60.93051,69.66107,69.89535,61.092785,61.286716,61.488415,61.490658,61.490208
69.59161,69.847946,60.994995,60.927773,60.926434,60.926434,60.98007,69.648224,69.765045,61.188248,61.327877,61.466053,61.482925,61.503883
72.549644,69.89158,63.228626,62.50366,62.848415,62.848415,63.15435,71.37915,69.84514,60.475792,59.62516,62.04194,61.922092,62.787327
72.549644,69.847946,63.174294,62.424862,62.78597,62.78597,63.104794,71.25301,69.78317,60.26416,59.411037,62.0349,61.9171,62.8887
69.64085,69.93521,60.572414,60.376213,60.440735,60.440735,60.540257,69.75055,69.87358,60.67849,60.858364,60.996704,60.98262,60.972275
69.64085,69.93521,61.429646,61.49509,61.43295,61.43295,61.41988,69.63889,69.85195,61.65583,61.800926,61.918846,61.94671,61.953003
72.549644,69.847946,63.16826,62.416985,62.77209,62.77209,63.092403,71.2531,69.782745,60.2612,59.405895,62.02467,61.90715,62.88137
69.61623,69.89158,62.250656,62.566692,62.40435,62.40435,62.287113,69.49987,69.783455,62.605423,62.711056,62.83258,62.905468,62.939274
72.549644,69.95702,63.301067,62.613968,62.938618,62.938618,63.228683,71.652176,69.95048,60.893818,60.010487,62.010754,61.888195,62.581738
72.549644,69.88431,63.210514,62.48002,62.827602,62.827602,63.14196,71.338264,69.830376,60.406517,59.558723,62.045578,61.926052,62.821712
69.702385,70.04429,62.05144,62.30667,62.140682,62.140682,62.057915,69.6322,69.96026,62.322826,62.46819,62.54564,62.589966,62.57546
69.624435,69.90612,60.90444,60.80958,60.83623,60.83623,60.88715,69.683975,69.83239,61.0685,61.229973,61.373646,61.37951,61.384624
69.505455,69.69524,62.01522,62.259396,62.14762,62.14762,62.04553,69.40111,69.5665,62.41085,62.47889,62.647526,62.733788,62.821243
72.549644,69.86249,63.186367,62.44062,62.869232,62.869232,63.12957,71.28004,69.80391,60.31938,59.479126,62.092937,61.972645,62.909523
69.66546,69.97884,61.97296,62.20424,62.05048,62.05048,61.977386,69.60273,69.888176,62.25668,62.388504,62.47791,62.5265,62.529118
69.70649,70.05157,61.659046,61.79451,61.68968,61.68968,61.655273,69.685295,69.978226,61.873764,62.037613,62.125923,62.15028,62.126617
69.61623,69.89158,61.960888,62.18848,62.140682,62.140682,62.002167,69.489,69.788445,62.29117,62.424416,62.610844,62.671814,62.709644
69.61623,69.89158,60.650894,60.478645,60.537876,60.537876,60.62698,69.71193,69.822586,60.78321,60.950157,61.098038,61.093086,61.0966
72.549644,69.89885,63.23466,62.511536,62.855354,62.855354,63.160545,71.40691,69.85578,60.516644,59.66206,62.04005,61.919884,62.769104
69.608025,69.87704,61.435684,61.50297,61.43295,61.43295,61.43227,69.610916,69.78701,61.6794,61.807865,61.9284,61.963097,61.98378
72.549644,69.79704,63.113926,62.33031,62.716583,62.716583,63.03665,71.26863,69.73824,60.243313,59.331593,61.952908,61.83852,62.88055
72.549644,69.93521,63.27692,62.57457,62.910862,62.910862,63.203907,71.56217,69.91513,60.755318,59.882328,62.02509,61.903316,62.654713
69.60392,69.86977,61.025177,60.96717,60.968067,60.968067,61.01104,69.65237,69.78862,61.216812,61.362293,61.501987,61.51792,61.53438
69.67367,69.993385,60.63882,60.462887,60.524,60.524,60.61459,69.77444,69.93805,60.733463,60.927147,61.06051,61.0424,61.01685
69.59571,69.85522,61.417572,61.479332,61.41907,61.41907,61.413685,69.59491,69.76243,61.668446,61.793568,61.923466,61.960266,61.98794
69.51776,69.71705,61.20025,61.19567,61.169285,61.169285,61.19068,69.539116,69.611534,61.47003,61.56876,61.72546,61.76876,61.83165
69.52597,69.73159,62.069553,62.33031,62.210068,62.210068,62.101276,69.416145,69.60628,62.45981,62.534916,62.696587,62.781,62.859135
69.65315,69.95702,61.127804,61.10112,61.079082,61.079082,61.11635,69.69709,69.88514,61.300785,61.46289,61.58108,61.590942,61.583397
69.5629,69.79704,60.856148,60.746548,60.773785,60.773785,60.837593,69.62979,69.710556,61.050198,61.1841,61.339565,61.356266,61.39027
72.549644,69.840675,63.16222,62.401222,62.765152,62.765152,63.08621,71.25701,69.77535,60.258286,59.3928,62.020344,61.9031,62.890106
69.63674,69.92794,62.298954,62.629726,62.466797,62.466797,62.33667,69.51048,69.82304,62.64945,62.763916,62.88428,62.95531,62.98083
69.43571,69.57161,61.055363,61.006565,61.009697,61.009697,61.04201,69.42518,69.43127,61.365414,61.479317,61.947384,61.998024,62.04285
69.661354,69.97157,61.145916,61.12476,61.0999,61.0999,61.128735,69.7011,69.900475,61.318188,61.483154,61.59875,61.608047,61.59777
69.66546,69.97884,62.35932,62.708523,62.536182,62.536182,62.398617,69.533485,69.87912,62.700134,62.825157,62.93625,63.003925,63.016117
69.694176,70.02975,61.622826,61.74723,61.648045,61.648045,61.618103,69.67673,69.954445,61.840267,62.00003,62.092632,62.11792,62.099785
69.702385,70.04429,62.05144,62.30667,62.14762,62.14762,62.06411,69.62948,69.96057,62.32282,62.469814,62.55281,62.597065,62.582638
69.64085,69.93521,62.28084,62.60609,62.44598,62.44598,62.311893,69.51463,69.83105,62.628212,62.745197,62.86513,62.93474,62.95893
